ano,mes,classe_orcamentaria,subclasse,equipamento,centro_custo,valor
2025,Mar,Operacional,Equipamentos de Segurança,GERAL,CC-422,140
2025,Abr,Operacional,Equipamentos de Segurança,GERAL,CC-422,46.6
2025,Mai,Operacional,Equipamentos de Segurança,GERAL,CC-422,289.9
2025,Jul,Operacional,Equipamentos de Segurança,GERAL,CC-422,590.76
2025,Ago,Operacional,Equipamentos de Segurança,GERAL,CC-422,97.64
2025,Set,Operacional,Equipamentos de Segurança,GERAL,CC-422,880.35
2025,Out,Operacional,Equipamentos de Segurança,GERAL,CC-422,238.86
2025,Nov,Operacional,Equipamentos de Segurança,GERAL,CC-422,238.86
2025,Dez,Operacional,Equipamentos de Segurança,GERAL,CC-422,238.86
2025,Ago,Operacional,IPVA,GERAL,CC-422,1326.32
2025,Set,Operacional,IPVA,GERAL,CC-422,499.17
2025,Out,Operacional,IPVA,GERAL,CC-422,202.83
2025,Nov,Operacional,IPVA,GERAL,CC-422,202.83
2025,Dez,Operacional,IPVA,GERAL,CC-422,202.83
2025,Jan,Operacional,Peças,GERAL,CC-422,785390.89
2025,Fev,Operacional,Peças,GERAL,CC-422,822515.38
2025,Mar,Operacional,Peças,GERAL,CC-422,716095.52
2025,Abr,Operacional,Peças,GERAL,CC-422,776350.91
2025,Mai,Operacional,Peças,GERAL,CC-422,776015.17
2025,Jun,Operacional,Peças,GERAL,CC-422,606828.28
2025,Jul,Operacional,Peças,GERAL,CC-422,697130.66
2025,Ago,Operacional,Peças,GERAL,CC-422,631391.11
2025,Set,Operacional,Peças,GERAL,CC-422,617940.84
2025,Out,Operacional,Peças,GERAL,CC-422,714406.53
2025,Nov,Operacional,Peças,GERAL,CC-422,714406.53
2025,Dez,Operacional,Peças,GERAL,CC-422,714406.53
