data,equipamento,produto,quantidade,valorUnitario,valorTotal,fornecedor
2025-08-08 00:00:00,PV-01,"PENEIRA 50,8 (2) 2100X2750",2,6056.69,12113.38,"BRAIANN.ARAGAO"
2025-02-24 00:00:00,PC-01,"ADAPTADOR  CAT 505-4040",6,2017.135,12102.81,"SOTREQ S/A"
2025-06-27 00:00:00,BM-03,"CORREIA TRANSPORTADORA 46",26,461.76,12005.76,"ABECOM COMERCIAL DE PRODUTOS INDUSTRIAIS LTDA"
2025-08-02 00:00:00,TE-06,"BICO INJETOR",1,12000,12000,"EDVALDO LUCINDO DE FARIA"
2025-08-04 00:00:00,BM-03,"RETENTOR PTTECH PAT2040002003",1,11904.27,11904.27,"PATEC ELETRICA E AUTOMACAO INDUSTRIAL LTDA"
2025-09-09 00:00:00,PC-02,"SERVICOS DE MANUTENCAO EM MAQU",1,11828.92,11828.92,"SOTREQ S/A"
2025-02-18 00:00:00,PC-09,"INJETOR CAT 20R-5077",2,5912,11824,"SOTREQ S/A"
2025-05-16 00:00:00,BM-03,"MOTOR PISTAO EATON -74328DAM",2,5889.795,11779.59,"VEDAPRESS VEDACOES PECAS E SERVICOS EIRELI"
2025-08-21 00:00:00,PC-02,"SERVICOS DE MANUTENCAO EM MAQU",1,11620.89,11620.89,"SOTREQ S/A"
2025-08-21 00:00:00,PC-02,"SERVICOS DE MANUTENCAO EM MAQU",1,11620.89,11620.89,"SOTREQ S/A"
2025-08-20 00:00:00,PC-10,"SERVICOS DE MANUTENCAO EM MAQU",1,11620.89,11620.89,"SOTREQ S/A"
2025-08-26 00:00:00,PC-10,"SERVICOS DE MANUTENCAO EM MAQU",1,11620.89,11620.89,"SOTREQ S/A"
2025-02-07 00:00:00,PC-10,"SERVICOS DE MANUTENCAO EM MAQU",1,11616.18,11616.18,"SOTREQ S/A"
2025-03-14 00:00:00,PC-10,"SERVICOS DE MANUTENCAO EM MAQU",1,11616.18,11616.18,"SOTREQ S/A"
2025-01-21 00:00:00,BM-02,"CORREIA TRANSPORTADORA 39",26,445.2765384615385,11577.19,"KAIQUE.ALVES"
